,name_x,name_y,surname_x,surname_y,n_sur,gender,party,state,region,age_years,generation,cmltv_cong,cmltv_chamber,exper_cong,exper_chamber
0,ALAN FRANKEN,AL FRANKEN,FRANKEN,FRANKEN,A_FRANKEN,M,D,MN,Midwest,63.62217659,Boomers,4,4,"(1, 10]","(1, 5]"
1,AMY KLOBUCHAR,AMY KLOBUCHAR,KLOBUCHAR,KLOBUCHAR,A_KLOBUCHAR,F,D,MN,Midwest,54.6091718,Boomers,5,5,"(1, 10]","(1, 5]"
2,ANGUS KING,ANGUS KING,KING,KING,A_KING,M,I,ME,Northeast,70.75975359,Silent,2,2,"(1, 10]","(1, 5]"
3,BARBARA BOXER,BARBARA BOXER,BOXER,BOXER,B_BOXER,F,D,CA,West,74.14373717,Silent,17,12,"(10, 100]","(5, 100]"
4,BARBARA MIKULSKI,BARBARA MIKULSKI,MIKULSKI,MIKULSKI,B_MIKULSKI,F,D,MD,Northeast,78.45585216,Silent,20,15,"(10, 100]","(5, 100]"
5,BENJAMIN CARDIN,BENJAMIN CARDIN,CARDIN,CARDIN,B_CARDIN,M,D,MD,Northeast,71.24709103,Silent,15,5,"(10, 100]","(1, 5]"
6,BENJAMIN SASSE,BENJAMIN SASSE,SASSE,SASSE,B_SASSE,M,R,NE,Midwest,42.86379192,Gen X,1,1,"(0, 1]","(0, 1]"
7,BERNARD SANDERS,BERNARD SANDERS,SANDERS,SANDERS,B_SANDERS,M,I,VT,Northeast,73.31964408,Silent,13,5,"(10, 100]","(1, 5]"
8,BILL CASSIDY,BILL CASSIDY,CASSIDY,CASSIDY,B_CASSIDY,M,R,LA,South,57.26488706,Boomers,4,1,"(1, 10]","(0, 1]"
9,Clarence William (Bill) NELSON,CLARENCE NELSON,NELSON,NELSON,C_NELSON,M,D,FL,Southeast,72.26283368,Silent,14,8,"(10, 100]","(5, 100]"
10,Robert (Bob) CORKER,ROBERT CORKER,CORKER,CORKER,R_CORKER,M,R,TN,Southeast,62.36002738,Boomers,5,5,"(1, 10]","(1, 5]"
11,BRIAN SCHATZ,BRIAN SCHATZ,SCHATZ,SCHATZ,B_SCHATZ,M,D,HI,West,42.20396988,Gen X,3,3,"(1, 10]","(1, 5]"
12,CHARLES GRASSLEY,CHARLES GRASSLEY,GRASSLEY,GRASSLEY,C_GRASSLEY,M,R,IA,Midwest,81.29500342,Silent,21,18,"(10, 100]","(5, 100]"
13,CHARLES SCHUMER,CHARLES SCHUMER,SCHUMER,SCHUMER,C_SCHUMER,M,D,NY,Northeast,64.11225188,Boomers,18,9,"(10, 100]","(5, 100]"
14,CHRIS COONS,CHRISTOPHER COONS,COONS,COONS,C_COONS,M,D,DE,Northeast,51.31827515,Boomers,4,4,"(1, 10]","(1, 5]"
15,CHRISTOPHER MURPHY,CHRISTOPHER MURPHY,MURPHY,MURPHY,C_MURPHY,M,D,CT,Northeast,41.41820671,Gen X,5,2,"(1, 10]","(1, 5]"
16,CLAIRE MCCASKILL,CLAIRE MCCASKILL,MCCASKILL,MCCASKILL,C_MCCASKILL,F,D,MO,Midwest,61.44558522,Boomers,5,5,"(1, 10]","(1, 5]"
17,CORY BOOKER,CORY BOOKER,BOOKER,BOOKER,C_BOOKER,M,D,NJ,Northeast,45.68651608,Gen X,2,2,"(1, 10]","(1, 5]"
18,CORY GARDNER,CORY GARDNER,GARDNER,GARDNER,C_GARDNER,M,R,CO,West,40.36687201,Gen X,3,1,"(1, 10]","(0, 1]"
19,DAN SULLIVAN,DANIEL SULLIVAN,SULLIVAN,SULLIVAN,D_SULLIVAN,M,R,AK,West,50.13826146,Boomers,1,1,"(0, 1]","(0, 1]"
20,DANIEL COATS,DANIEL COATS,COATS,COATS,D_COATS,M,R,IN,Midwest,71.63586585,Silent,12,7,"(10, 100]","(5, 100]"
21,DAVID PERDUE,DAVID PERDUE,PERDUE,PERDUE,D_PERDUE,M,R,GA,Southeast,65.06502396,Boomers,1,1,"(0, 1]","(0, 1]"
22,DAVID VITTER,DAVID VITTER,VITTER,VITTER,D_VITTER,M,R,LA,South,53.67008898,Boomers,9,6,"(1, 10]","(5, 100]"
23,DEAN HELLER,DEAN HELLER,HELLER,HELLER,D_HELLER,M,R,NV,West,54.65023956,Boomers,5,3,"(1, 10]","(1, 5]"
24,DEB FISCHER,DEBRA FISCHER,FISCHER,FISCHER,D_FISCHER,F,R,NE,Midwest,63.84394251,Boomers,2,2,"(1, 10]","(1, 5]"
