congress,start_date,chamber,state_abbrev,party_code,bioname,bioguide_id,birthday,cmltv_cong,cmltv_chamber,age_days,age_years,generation
82,1/3/1951,House,ND,200,"AANDAHL, Fred George",A000001,1897-04-09,1,1,19626,53.73305955,Lost
80,1/3/1947,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,1,1,14106,38.6201232,Greatest
81,1/3/1949,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,2,2,14837,40.62149213,Greatest
82,1/3/1951,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,3,3,15567,42.6201232,Greatest
83,1/3/1953,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,4,4,16298,44.62149213,Greatest
84,1/3/1955,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,5,5,17028,46.6201232,Greatest
85,1/3/1957,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,6,6,17759,48.62149213,Greatest
86,1/3/1959,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,7,7,18489,50.6201232,Greatest
87,1/3/1961,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,8,8,19220,52.62149213,Greatest
88,1/3/1963,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,9,9,19950,54.6201232,Greatest
89,1/3/1965,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,10,10,20681,56.62149213,Greatest
90,1/3/1967,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,11,11,21411,58.6201232,Greatest
91,1/3/1969,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,12,12,22142,60.62149213,Greatest
92,1/3/1971,House,VA,100,"ABBITT, Watkins Moorman",A000002,5/21/1908,13,13,22872,62.6201232,Greatest
93,1/3/1973,House,SD,200,"ABDNOR, James",A000009,2/13/1923,1,1,18222,49.88911704,Greatest
94,1/3/1975,House,SD,200,"ABDNOR, James",A000009,2/13/1923,2,2,18952,51.88774812,Greatest
95,1/3/1977,House,SD,200,"ABDNOR, James",A000009,2/13/1923,3,3,19683,53.88911704,Greatest
96,1/3/1979,House,SD,200,"ABDNOR, James",A000009,2/13/1923,4,4,20413,55.88774812,Greatest
97,1/3/1981,Senate,SD,200,"ABDNOR, James",A000009,2/13/1923,5,1,21144,57.88911704,Greatest
98,1/3/1983,Senate,SD,200,"ABDNOR, James",A000009,2/13/1923,6,2,21874,59.88774812,Greatest
99,1/3/1985,Senate,SD,200,"ABDNOR, James",A000009,2/13/1923,7,3,22605,61.88911704,Greatest
83,1/3/1953,Senate,NE,200,"ABEL, Hazel Hempel",A000010,1888-07-10,1,1,23552,64.48186174,Lost
88,1/3/1963,House,OH,200,"ABELE, Homer E.",A000011,11/21/1916,1,1,16844,46.11635866,Greatest
99,1/3/1985,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,1,1,16993,46.52429843,Silent
102,1/3/1991,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,2,2,19184,52.5229295,Silent
103,1/3/1993,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,3,3,19915,54.52429843,Silent
104,1/3/1995,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,4,4,20645,56.5229295,Silent
105,1/3/1997,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,5,5,21376,58.52429843,Silent
106,1/3/1999,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,6,6,22106,60.5229295,Silent
107,1/3/2001,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,7,7,22837,62.52429843,Silent
108,1/3/2003,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,8,8,23567,64.5229295,Silent
109,1/3/2005,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,9,9,24298,66.52429843,Silent
110,1/3/2007,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,10,10,25028,68.5229295,Silent
111,1/3/2009,House,HI,100,"ABERCROMBIE, Neil",A000014,6/26/1938,11,11,25759,70.52429843,Silent
67,3/4/1921,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,1,1,17882,48.95824778,Missionary
68,3/4/1923,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,2,2,18612,50.95687885,Missionary
69,3/4/1925,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,3,3,19343,52.95824778,Missionary
70,3/4/1927,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,4,4,20073,54.95687885,Missionary
71,3/4/1929,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,5,5,20804,56.95824778,Missionary
72,3/4/1931,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,6,6,21534,58.95687885,Missionary
73,3/4/1933,House,NC,100,"ABERNETHY, Charles Laban",A000015,1872-03-18,7,7,22265,60.95824778,Missionary
78,1/3/1943,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,1,1,14477,39.63586585,Greatest
79,1/3/1945,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,2,2,15208,41.63723477,Greatest
80,1/3/1947,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,3,3,15938,43.63586585,Greatest
81,1/3/1949,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,4,4,16669,45.63723477,Greatest
82,1/3/1951,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,5,5,17399,47.63586585,Greatest
83,1/3/1953,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,6,6,18130,49.63723477,Greatest
84,1/3/1955,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,7,7,18860,51.63586585,Greatest
85,1/3/1957,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,8,8,19591,53.63723477,Greatest
86,1/3/1959,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,9,9,20321,55.63586585,Greatest
87,1/3/1961,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,10,10,21052,57.63723477,Greatest
88,1/3/1963,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,11,11,21782,59.63586585,Greatest
89,1/3/1965,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,12,12,22513,61.63723477,Greatest
90,1/3/1967,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,13,13,23243,63.63586585,Greatest
91,1/3/1969,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,14,14,23974,65.63723477,Greatest
92,1/3/1971,House,MS,100,"ABERNETHY, Thomas Gerstle",A000016,5/16/1903,15,15,24704,67.63586585,Greatest
92,1/3/1971,House,SD,100,"ABOUREZK, James George",A000017,2/24/1931,1,1,14558,39.85763176,Silent
93,1/3/1973,Senate,SD,100,"ABOUREZK, James George",A000017,2/24/1931,2,1,15289,41.85900068,Silent
94,1/3/1975,Senate,SD,100,"ABOUREZK, James George",A000017,2/24/1931,3,2,16019,43.85763176,Silent
95,1/3/1977,Senate,SD,100,"ABOUREZK, James George",A000017,2/24/1931,4,3,16750,45.85900068,Silent
92,1/3/1971,House,NY,100,"ABZUG, Bella Savitzky",A000018,7/24/1920,1,1,18425,50.44490075,Greatest
93,1/3/1973,House,NY,100,"ABZUG, Bella Savitzky",A000018,7/24/1920,2,2,19156,52.44626968,Greatest
94,1/3/1975,House,NY,100,"ABZUG, Bella Savitzky",A000018,7/24/1920,3,3,19886,54.44490075,Greatest
66,3/4/1919,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,1,1,20348,55.70978782,Missionary
67,3/4/1921,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,2,2,21079,57.71115674,Missionary
68,3/4/1923,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,3,3,21809,59.70978782,Missionary
69,3/4/1925,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,4,4,22540,61.71115674,Missionary
70,3/4/1927,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,5,5,23270,63.70978782,Missionary
71,3/4/1929,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,6,6,24001,65.71115674,Missionary
72,3/4/1931,House,NJ,200,"ACKERMAN, Ernest Robinson",A000021,1863-06-17,7,7,24731,67.70978782,Missionary
98,1/3/1983,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,1,1,14655,40.12320329,Silent
99,1/3/1985,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,2,2,15386,42.12457221,Silent
100,1/3/1987,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,3,3,16116,44.12320329,Silent
101,1/3/1989,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,4,4,16847,46.12457221,Silent
102,1/3/1991,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,5,5,17577,48.12320329,Silent
103,1/3/1993,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,6,6,18308,50.12457221,Silent
104,1/3/1995,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,7,7,19038,52.12320329,Silent
105,1/3/1997,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,8,8,19769,54.12457221,Silent
106,1/3/1999,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,9,9,20499,56.12320329,Silent
107,1/3/2001,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,10,10,21230,58.12457221,Silent
108,1/3/2003,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,11,11,21960,60.12320329,Silent
109,1/3/2005,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,12,12,22691,62.12457221,Silent
110,1/3/2007,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,13,13,23421,64.12320329,Silent
111,1/3/2009,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,14,14,24152,66.12457221,Silent
112,1/3/2011,House,NY,100,"ACKERMAN, Gary Leonard",A000022,11/19/1942,15,15,24882,68.12320329,Silent
82,1/3/1951,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,1,1,15726,43.05544148,Greatest
83,1/3/1953,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,2,2,16457,45.0568104,Greatest
84,1/3/1955,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,3,3,17187,47.05544148,Greatest
85,1/3/1957,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,4,4,17918,49.0568104,Greatest
86,1/3/1959,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,5,5,18648,51.05544148,Greatest
87,1/3/1961,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,6,6,19379,53.0568104,Greatest
88,1/3/1963,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,7,7,20109,55.05544148,Greatest
89,1/3/1965,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,8,8,20840,57.0568104,Greatest
90,1/3/1967,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,9,9,21570,59.05544148,Greatest
91,1/3/1969,House,IN,200,"ADAIR, Edwin Ross",A000024,12/14/1907,10,10,22301,61.0568104,Greatest
73,3/4/1933,House,IL,100,"ADAIR, Jackson Leroy",A000025,1887-02-23,1,1,16810,46.02327173,Lost
74,1/3/1935,House,IL,100,"ADAIR, Jackson Leroy",A000025,1887-02-23,2,2,17480,47.85763176,Lost
68,3/4/1923,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,1,1,17292,47.34291581,Missionary
73,3/4/1933,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,2,2,20945,57.34428474,Missionary
74,1/3/1935,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,3,3,21615,59.17864476,Missionary
75,1/3/1937,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,4,4,22346,61.18001369,Missionary
76,1/3/1939,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,5,5,23076,63.17864476,Missionary
77,1/3/1941,Senate,CO,100,"ADAMS, Alva Blanchard",A000028,1875-10-29,6,6,23807,65.18001369,Missionary
89,1/3/1965,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,1,1,13870,37.97399042,Greatest
90,1/3/1967,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,2,2,14600,39.97262149,Greatest
91,1/3/1969,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,3,3,15331,41.97399042,Greatest
