"","id2","id1","name_1","name_2","PARTY","STATE","CHAMBER","FRESHMAN.","RELIGION","tier"
"1",1,54,"Lamar Alexander (R)","Lamar Alexander","Republican","Tennessee","Senate","No","Presbyterian","all"
"2",2,52,"Kelly Ayotte (R)","Kelly Ayotte","Republican","New Hampshire","Senate","No","Catholic","all"
"3",3,91,"Tammy Baldwin (D)","Tammy Baldwin","Democrat","Wisconsin","Senate","No","Don’t Know/Refused","all"
"4",4,42,"John Barrasso (R)","John Barrasso","Republican","Wyoming","Senate","No","Presbyterian","all"
"5",5,63,"Michael Bennet (D)","Michael Bennet","Democrat","Colorado","Senate","No","Don’t Know/Refused","all"
"6",6,75,"Richard Blumenthal (D)","Richard Blumenthal","Democrat","Connecticut","Senate","No","Jewish","all"
"7",7,85,"Roy Blunt (R)","Roy Blunt","Republican","Missouri","Senate","No","Baptist","all"
"8",8,18,"Cory Booker (D)","Cory Booker","Democrat","New Jersey","Senate","No","Baptist","all"
"9",9,43,"John Boozman (R)","John Boozman","Republican","Arkansas","Senate","No","Baptist","all"
"10",10,4,"Barbara Boxer (D)","Barbara Boxer","Democrat","California","Senate","No","Jewish","all"
"11",11,88,"Sherrod Brown (D)","Sherrod Brown","Democrat","Ohio","Senate","No","Lutheran","all"
"12",12,76,"Richard Burr (R)","Richard M. Burr","Republican","North Carolina","Senate","No","Methodist","all"
"13",13,58,"Maria Cantwell (D)","Maria Cantwell","Democrat","Washington","Senate","No","Catholic","all"
"14",14,87,"Shelley Capito (R)","Shelley Moore Capito","Republican","West Virginia","Senate","Yes","Presbyterian","all"
"15",15,6,"Benjamin Cardin (D)","Benjamin L. Cardin","Democrat","Maryland","Senate","No","Jewish","all"
"16",16,95,"Thomas Carper (D)","Thomas R. Carper","Democrat","Delaware","Senate","No","Presbyterian","all"
"17",17,79,"Robert Casey (D)","Robert Casey","Democrat","Pennsylvania","Senate","No","Catholic","all"
"18",18,9,"Bill Cassidy (R)","Bill Cassidy","Republican","Louisiana","Senate","Yes","Unspecified/Other (Protestant)","all"
"19",19,21,"Daniel Coats (R)","Dan Coats","Republican","Indiana","Senate","No","Presbyterian","all"
"20",20,93,"Thad Cochran (R)","Thad Cochran","Republican","Mississippi","Senate","No","Baptist","all"
"21",21,90,"Susan Collins (R)","Susan Collins","Republican","Maine","Senate","No","Catholic","all"
"22",22,15,"Chris Coons (D)","Chris Coons","Democrat","Delaware","Senate","No","Presbyterian","all"
"23",23,11,"Bob Corker (R)","Bob Corker","Republican","Tennessee","Senate","No","Unspecified/Other (Protestant)","all"
"24",24,44,"John Cornyn (R)","John Cornyn","Republican","Texas","Senate","No","Nondenominational Christian","all"
"25",25,98,"Tom Cotton (R)","Tom Cotton","Republican","Arkansas","Senate","Yes","Methodist","all"
"26",26,64,"Michael Crapo (R)","Michael D. Crapo","Republican","Idaho","Senate","No","Mormon","all"
"27",27,92,"Ted Cruz (R)","Ted Cruz","Republican","Texas","Senate","No","Baptist","all"
"28",28,89,"Steve Daines (R)","Steve Daines","Republican","Montana","Senate","Yes","Presbyterian","all"
"29",29,40,"Joe Donnelly (D)","Joe Donnelly","Democrat","Indiana","Senate","No","Catholic","all"
